63,255,255
127,0,255
127,0,255
63,255,255
63,255,255
63,255,255
127,0,255
127,0,255
127,0,255
63,255,255
63,255,255
0,127,63
0,127,127
63,255,255
63,255,255
63,255,255
191,255,0
63,255,255
63,255,255
0,255,63
191,255,0
0,255,127
0,255,63
63,255,255
63,255,255
127,0,255
63,0,63
127,0,255
127,0,255
127,0,255
127,0,255
127,0,255
127,0,255
127,0,255
127,0,255
63,127,0
0,127,63
0,127,127
0,127,191
127,0,255
63,255,255
63,191,63
63,191,127
63,255,255
0,255,63
191,255,0
0,255,127
0,255,63
63,255,255
63,255,255
127,0,255
127,0,255
63,0,63
127,0,255
127,0,255
127,0,255
127,0,255
63,0,63
127,0,255
191,191,255
127,0,255
63,127,0
63,255,255
63,255,255
127,0,255
63,255,255
63,255,255
63,191,127
63,255,255
63,255,255
63,255,255
0,255,127
0,255,127
63,255,255
63,255,255
127,0,255
127,0,255
127,0,255
63,255,255
127,0,255
127,0,255
127,0,255
127,0,255
63,255,255
127,0,255
63,255,255
63,255,255
63,255,255
63,255,255
63,255,255
63,255,255
63,255,255
191,255,255
63,255,255
191,191,255
191,255,0
191,255,0
191,255,0
63,255,255
63,255,255
127,0,255
63,255,255
63,255,255
63,255,255
127,0,255
63,255,255
63,255,255
63,255,255
63,255,255
127,0,255
63,255,255
63,255,255
63,255,255
127,0,255
127,0,255
63,255,255
63,255,255
63,255,255
63,255,255
63,255,255
63,255,255
63,255,255
255,255,63
191,255,255
63,255,255
